TrialNum,LeverNum,AbsTime,TrialCond,DispTime,TrialTime,coopTS,coopSucc,Hit,TrialEnd,AnimalID,RatID
28,2,311.43,0,,0.45999999999998,,0,1,0,KL007Y-KL007G,0.0
28,2,312.44,0,,1.46999999999997,,0,-1,0,KL007Y-KL007G,1.0
28,2,312.7,0,,1.72999999999996,,0,-1,0,KL007Y-KL007G,
29,1,323.15,3,325.56,1.06999999999999,323.99,1,1,0,KL007Y-KL007G,1.0
29,1,323.72,3,325.56,1.64000000000004,323.99,1,-1,0,KL007Y-KL007G,
29,2,323.97,3,325.56,1.89000000000004,323.99,1,1,1,KL007Y-KL007G,1.0
29,1,323.98,3,325.56,1.90000000000003,323.99,1,-2,0,KL007Y-KL007G,
30,1,335.31,0,,0.800000000000011,,0,1,0,KL007Y-KL007G,0.0
30,1,336.0,0,,1.49000000000001,,0,-1,0,KL007Y-KL007G,0.0
31,1,344.64,3,345.86,0.779999999999973,344.74,1,1,0,KL007Y-KL007G,0.0
31,2,344.72,3,345.86,0.860000000000014,344.74,1,1,1,KL007Y-KL007G,1.0
32,2,355.94,3,357.36,0.45999999999998,356.24,1,1,0,KL007Y-KL007G,1.0
32,2,356.11,3,357.36,0.629999999999995,356.24,1,-1,0,KL007Y-KL007G,1.0
32,1,356.22,3,357.36,0.740000000000009,356.24,1,1,1,KL007Y-KL007G,0.0
33,2,367.7,0,,0.349999999999966,,0,1,0,KL007Y-KL007G,0.0
33,2,368.19,0,,0.839999999999975,,0,-1,0,KL007Y-KL007G,0.0
33,2,368.64,0,,1.28999999999996,,0,-1,0,KL007Y-KL007G,0.0
33,2,369.13,0,,1.77999999999997,,0,-1,0,KL007Y-KL007G,0.0
34,2,374.71,3,376.32,0.560000000000002,374.95,1,1,0,KL007Y-KL007G,1.0
34,1,374.94,3,376.32,0.79000000000002,374.95,1,1,1,KL007Y-KL007G,0.0
35,2,389.37,0,,2.69999999999999,,0,1,0,KL007Y-KL007G,0.0
35,2,389.62,0,,2.94999999999999,,0,-1,0,KL007Y-KL007G,
35,2,390.02,0,,3.34999999999997,,0,-1,0,KL007Y-KL007G,0.0
36,1,396.51,0,,0.789999999999964,,0,1,0,KL007Y-KL007G,1.0
36,1,397.64,0,,1.91999999999996,,0,-1,0,KL007Y-KL007G,
36,2,397.93,0,,2.20999999999998,,0,1,1,KL007Y-KL007G,0.0
37,2,405.12,3,407.6,0.660000000000025,406.08,1,1,0,KL007Y-KL007G,0.0
37,2,405.93,3,407.6,1.47000000000003,406.08,1,-1,0,KL007Y-KL007G,0.0
37,1,406.06,3,407.6,1.60000000000002,406.08,1,1,1,KL007Y-KL007G,1.0
37,2,406.36,3,407.6,1.90000000000003,406.08,1,-2,0,KL007Y-KL007G,0.0
38,1,419.69,0,,0.769999999999982,,0,1,0,KL007Y-KL007G,0.0
39,1,428.66,0,,2.32000000000005,,0,1,0,KL007Y-KL007G,0.0
39,1,428.8,0,,2.46000000000004,,0,-1,0,KL007Y-KL007G,0.0
40,2,437.9,0,,0.689999999999998,,0,1,0,KL007Y-KL007G,0.0
40,2,438.86,0,,1.65000000000003,,0,-1,0,KL007Y-KL007G,1.0
40,2,439.68,0,,2.47000000000003,,0,-1,0,KL007Y-KL007G,0.0
41,1,451.81,0,,3.66000000000003,,0,1,0,KL007Y-KL007G,0.0
42,1,463.9,0,,1.33999999999997,,0,1,0,KL007Y-KL007G,
42,1,464.28,0,,1.71999999999997,,0,-1,0,KL007Y-KL007G,
42,1,464.42,0,,1.86000000000001,,0,-1,0,KL007Y-KL007G,
42,1,464.91,0,,2.35000000000002,,0,-1,0,KL007Y-KL007G,1.0
42,1,465.12,0,,2.56,,0,-1,0,KL007Y-KL007G,1.0
43,1,471.18,3,473.32,1.23000000000002,471.3,1,1,0,KL007Y-KL007G,0.0
