TrialNum,MagNum,AbsTime,Duration,TrialCond,DispTime,TrialTime,Hit,TrialEnd,RatID
1,2.0,17.93,0.0,,,,0.0,0.0,
1,2.0,20.57,0.0,,,,0.0,0.0,
1,1.0,23.83,0.0,,,,0.0,0.0,
1,2.0,38.21,0.0,,,,0.0,0.0,
4,1.0,47.47,0.0,3.0,46.28,1.19,1.0,0.0,
4,2.0,62.44,0.0,3.0,46.28,16.16,1.0,1.0,
4,1.0,65.85,0.0,3.0,46.28,19.57,-1.0,0.0,1.0
4,2.0,74.77,0.0,3.0,46.28,28.49,-1.0,0.0,
4,2.0,76.08,0.0,3.0,46.28,29.8,-1.0,0.0,0.0
4,1.0,86.59,0.0,3.0,46.28,40.31,-1.0,0.0,
4,2.0,94.62,0.0799999999999983,3.0,46.28,48.34,-1.0,0.0,
4,2.0,96.97,0.0,3.0,46.28,50.69,-1.0,0.0,
11,1.0,117.16,0.0,3.0,116.96,0.200000000000003,1.0,0.0,
11,2.0,117.48,0.0,3.0,116.96,0.52000000000001,1.0,1.0,0.0
11,2.0,127.51,0.0099999999999909,3.0,116.96,10.55,-1.0,0.0,1.0
11,1.0,132.58,0.0099999999999909,3.0,116.96,15.62,-1.0,0.0,
11,1.0,133.21,0.0199999999999818,3.0,116.96,16.25,-1.0,0.0,
11,2.0,138.61,0.0,3.0,116.96,21.65,-1.0,0.0,
14,,,,,149.05,,,,
15,2.0,160.12,0.0,3.0,158.62,1.5,1.0,0.0,
15,1.0,171.88,0.0,3.0,158.62,13.26,1.0,1.0,
17,1.0,181.95,0.0,3.0,180.8,1.14999999999998,1.0,0.0,
17,2.0,182.1,0.0,3.0,180.8,1.29999999999998,1.0,1.0,
19,1.0,201.32,0.0,3.0,200.38,0.939999999999998,1.0,0.0,
19,2.0,201.97,0.0,3.0,200.38,1.59,1.0,1.0,
21,1.0,223.39,0.0100000000000193,3.0,222.69,0.699999999999989,1.0,0.0,
21,2.0,224.31,0.0,3.0,222.69,1.62,1.0,1.0,
23,1.0,241.96,0.0,3.0,240.82,1.14000000000001,1.0,0.0,
23,2.0,242.72,0.0,3.0,240.82,1.90000000000001,1.0,1.0,
25,1.0,267.1,0.0099999999999909,3.0,266.67,0.430000000000007,1.0,0.0,
25,2.0,267.69,0.0,3.0,266.67,1.01999999999998,1.0,1.0,
27,1.0,289.36,0.0,3.0,288.47,0.889999999999986,1.0,0.0,
27,2.0,289.77,0.0,3.0,288.47,1.29999999999995,1.0,1.0,
29,1.0,313.23,0.0,3.0,312.8,0.430000000000007,1.0,0.0,
29,2.0,313.99,0.0,3.0,312.8,1.19,1.0,1.0,
29,2.0,315.78,0.0,3.0,312.8,2.97999999999996,-1.0,0.0,0.0
31,1.0,335.49,0.0,3.0,335.15,0.340000000000032,1.0,0.0,
31,2.0,338.45,0.0,3.0,335.15,3.30000000000001,1.0,1.0,
32,,,,,350.23,,,,
33,1.0,360.49,0.0,3.0,359.37,1.12,1.0,0.0,
33,2.0,363.93,0.0,3.0,359.37,4.56,1.0,1.0,
34,,,,,371.23,,,,
36,1.0,392.9,0.0100000000000477,3.0,391.59,1.31,1.0,0.0,1.0
36,2.0,393.08,0.0,3.0,391.59,1.49000000000001,1.0,1.0,
38,2.0,414.37,0.0,3.0,413.46,0.910000000000025,1.0,0.0,
38,1.0,417.58,0.0,3.0,413.46,4.12,1.0,1.0,
38,1.0,419.14,0.0,3.0,413.46,5.68000000000001,-1.0,0.0,
38,2.0,432.34,0.0,3.0,413.46,18.88,-1.0,0.0,
38,1.0,434.84,0.0,3.0,413.46,21.38,-1.0,0.0,
38,1.0,443.56,0.0600000000000023,3.0,413.46,30.1,-1.0,0.0,
41,,,,,449.0,,,,
42,1.0,461.58,0.0,3.0,460.52,1.06,1.0,0.0,
42,2.0,473.59,0.0,3.0,460.52,13.07,1.0,1.0,0.0
42,2.0,476.28,0.0,3.0,460.52,15.76,-1.0,0.0,
42,1.0,485.06,0.0400000000000205,3.0,460.52,24.54,-1.0,0.0,
46,1.0,506.27,0.0,3.0,505.11,1.15999999999997,1.0,0.0,
46,2.0,506.63,0.0,3.0,505.11,1.51999999999998,1.0,1.0,
