TrialNum,LeverNum,AbsTime,TrialCond,DispTime,TrialTime,coopTS,coopSucc,Hit,TrialEnd,AnimalID,CoopTimeLimit,RatID
135,2,1615.49,0,,6.22000000000003,,0,1,0,KL005B-KL005Y,1.25,1.0
135,2,1615.94,0,,6.67000000000007,,0,-1,0,KL005B-KL005Y,1.25,1.0
136,2,1627.48,0,,2.5,,0,1,0,KL005B-KL005Y,1.25,1.0
136,2,1628.12,0,,3.13999999999987,,0,-1,0,KL005B-KL005Y,1.25,1.0
137,1,1656.6,0,,19.53,,0,1,0,KL005B-KL005Y,1.25,0.0
137,1,1657.94,0,,20.8700000000001,,0,-1,0,KL005B-KL005Y,1.25,0.0
138,1,1669.86,0,,3.26999999999998,,0,1,0,KL005B-KL005Y,1.25,0.0
138,1,1670.64,0,,4.05000000000018,,0,-1,0,KL005B-KL005Y,1.25,0.0
139,2,1678.65,3,1681.52,2.0,1679.53,1,1,0,KL005B-KL005Y,1.25,1.0
139,2,1678.93,3,1681.52,2.27999999999997,1679.53,1,-1,0,KL005B-KL005Y,1.25,1.0
139,2,1679.35,3,1681.52,2.69999999999982,1679.53,1,-1,0,KL005B-KL005Y,1.25,1.0
139,1,1679.5,3,1681.52,2.84999999999991,1679.53,1,1,1,KL005B-KL005Y,1.25,0.0
140,2,1693.43,0,,4.78999999999996,,0,1,0,KL005B-KL005Y,1.25,1.0
140,2,1694.29,0,,5.64999999999986,,0,-1,0,KL005B-KL005Y,1.25,1.0
140,1,1695.17,0,,6.52999999999997,,0,1,1,KL005B-KL005Y,1.25,0.0
141,1,1700.88,3,1703.54,0.760000000000218,1701.8,1,1,0,KL005B-KL005Y,1.25,0.0
141,2,1701.79,3,1703.54,1.67000000000007,1701.8,1,1,1,KL005B-KL005Y,1.25,1.0
141,1,1702.57,3,1703.54,2.45000000000005,1701.8,1,-2,0,KL005B-KL005Y,1.25,0.0
142,2,1716.22,0,,1.26999999999998,,0,1,0,KL005B-KL005Y,1.25,1.0
143,2,1723.95,3,1726.8,1.03999999999996,1725.11,1,1,0,KL005B-KL005Y,1.25,1.0
143,2,1724.41,3,1726.8,1.5,1725.11,1,-1,0,KL005B-KL005Y,1.25,1.0
143,1,1725.09,3,1726.8,2.17999999999984,1725.11,1,1,1,KL005B-KL005Y,1.25,0.0
143,1,1725.5,3,1726.8,2.58999999999992,1725.11,1,-2,0,KL005B-KL005Y,1.25,0.0
