TrialNum,LeverNum,AbsTime,TrialCond,DispTime,TrialTime,coopTS,coopSucc,Hit,TrialEnd,AnimalID,CoopTimeLimit,RatID
61,1,786.5,3,788.31,0.769999999999982,786.72,1,1,0,KL006R-KL006G,1.25,0.0
61,2,786.7,3,788.31,0.970000000000027,786.72,1,1,1,KL006R-KL006G,1.25,1.0
61,2,786.92,3,788.31,1.18999999999994,786.72,1,-2,0,KL006R-KL006G,1.25,1.0
61,1,787.02,3,788.31,1.28999999999996,786.72,1,-2,0,KL006R-KL006G,1.25,0.0
62,2,799.22,3,801.71,1.02999999999997,799.82,1,1,0,KL006R-KL006G,1.25,1.0
62,1,799.8,3,801.71,1.6099999999999,799.82,1,1,1,KL006R-KL006G,1.25,0.0
62,1,800.13,3,801.71,1.93999999999994,799.82,1,-2,0,KL006R-KL006G,1.25,0.0
63,1,812.44,0,,1.46000000000004,,0,1,0,KL006R-KL006G,1.25,0.0
63,1,812.95,0,,1.97000000000003,,0,-1,0,KL006R-KL006G,1.25,0.0
63,1,813.44,0,,2.46000000000004,,0,-1,0,KL006R-KL006G,1.25,0.0
63,1,813.97,0,,2.99000000000001,,0,-1,0,KL006R-KL006G,1.25,0.0
64,2,823.17,3,825.6,0.939999999999941,823.81,1,1,0,KL006R-KL006G,1.25,1.0
64,2,823.36,3,825.6,1.13,823.81,1,-1,0,KL006R-KL006G,1.25,1.0
64,1,823.79,3,825.6,1.55999999999995,823.81,1,1,1,KL006R-KL006G,1.25,0.0
65,1,839.9,0,,7.48000000000002,,0,1,0,KL006R-KL006G,1.25,0.0
65,1,840.12,0,,7.70000000000005,,0,-1,0,KL006R-KL006G,1.25,0.0
65,1,841.11,0,,8.69000000000005,,0,-1,0,KL006R-KL006G,1.25,0.0
66,1,848.25,3,850.34,0.759999999999991,848.45,1,1,0,KL006R-KL006G,1.25,0.0
66,2,848.44,3,850.34,0.950000000000045,848.45,1,1,1,KL006R-KL006G,1.25,1.0
66,1,848.49,3,850.34,1.0,848.45,1,-2,0,KL006R-KL006G,1.25,0.0
66,1,848.69,3,850.34,1.20000000000005,848.45,1,-2,0,KL006R-KL006G,1.25,0.0
66,2,848.77,3,850.34,1.27999999999997,848.45,1,-2,0,KL006R-KL006G,1.25,1.0
66,2,849.01,3,850.34,1.51999999999998,848.45,1,-2,0,KL006R-KL006G,1.25,1.0
67,1,861.01,3,862.44,0.730000000000018,861.15,1,1,0,KL006R-KL006G,1.25,0.0
67,2,861.13,3,862.44,0.850000000000023,861.15,1,1,1,KL006R-KL006G,1.25,1.0
