TrialNum,LeverNum,AbsTime,TrialCond,DispTime,TrialTime,coopTS,coopSucc,Hit,TrialEnd,AnimalID,CoopTimeLimit,RatID
171,1,2309.53,0,,1.2800000000002,,0,1,0,KL007G-KL007Y,1.25,0.0
172,2,2317.28,0,,0.660000000000309,,0,1,0,KL007G-KL007Y,1.25,0.0
173,2,2327.51,0,,0.440000000000055,,0,1,0,KL007G-KL007Y,1.25,0.0
173,2,2328.7,0,,1.62999999999965,,0,-1,0,KL007G-KL007Y,1.25,0.0
173,2,2328.75,0,,1.67999999999984,,0,-1,0,KL007G-KL007Y,1.25,0.0
174,2,2336.07,0,,0.570000000000164,,0,1,0,KL007G-KL007Y,1.25,
174,2,2338.04,0,,2.53999999999996,,0,-1,0,KL007G-KL007Y,1.25,
175,2,2345.52,0,,0.460000000000036,,0,1,0,KL007G-KL007Y,1.25,0.0
175,2,2346.99,0,,1.92999999999984,,0,-1,0,KL007G-KL007Y,1.25,1.0
175,2,2347.03,0,,1.97000000000025,,0,-1,0,KL007G-KL007Y,1.25,1.0
176,2,2352.61,0,,0.700000000000273,,0,1,0,KL007G-KL007Y,1.25,0.0
176,2,2353.26,0,,1.35000000000036,,0,-1,0,KL007G-KL007Y,1.25,0.0
176,2,2353.53,0,,1.62000000000035,,0,-1,0,KL007G-KL007Y,1.25,0.0
177,2,2364.18,0,,0.679999999999836,,0,1,0,KL007G-KL007Y,1.25,0.0
177,2,2365.74,0,,2.23999999999978,,0,-1,0,KL007G-KL007Y,1.25,
178,2,2373.34,0,,2.76999999999998,,0,1,0,KL007G-KL007Y,1.25,0.0
178,2,2375.37,0,,4.79999999999973,,0,-1,0,KL007G-KL007Y,1.25,0.0
179,1,2383.13,0,,1.30000000000018,,0,1,0,KL007G-KL007Y,1.25,
179,1,2383.62,0,,1.78999999999996,,0,-1,0,KL007G-KL007Y,1.25,0.0
179,1,2384.41,0,,2.57999999999993,,0,-1,0,KL007G-KL007Y,1.25,
180,2,2390.64,3,2393.0,0.619999999999891,2391.06,1,1,0,KL007G-KL007Y,1.25,0.0
180,1,2391.03,3,2393.0,1.01000000000022,2391.06,1,1,1,KL007G-KL007Y,1.25,
181,2,2422.38,3,2425.15,0.610000000000127,2423.56,1,1,0,KL007G-KL007Y,1.25,0.0
181,1,2423.54,3,2425.15,1.76999999999998,2423.56,1,1,1,KL007G-KL007Y,1.25,
181,2,2423.62,3,2425.15,1.84999999999991,2423.56,1,-2,0,KL007G-KL007Y,1.25,
182,2,2435.56,3,2438.08,0.739999999999782,2436.04,1,1,0,KL007G-KL007Y,1.25,0.0
182,1,2436.03,3,2438.08,1.21000000000004,2436.04,1,1,1,KL007G-KL007Y,1.25,
