vid,session,single/multi,test/train,pred,color pair,initial nan,vel nan,correct,final nan,levers,mags,trial type,familiarity,fiber pho,dividers
051424_Cam3_TrNum11_Coop_EB031B-EB001R,051424_EB031B-001R-033Y_TimeOut_VEH,multi,test,True,EB031B-EB001R,0.0349256068911511,0.0360349778125815,True,0.0001087618550421,True,True,coop,TP,False,transparent
051524_Cam1_TrNum11_Coop_EB001R-EB031B,051524_EB001R-031B-019Y_TimeOut_VEH,multi,test,True,EB001R-EB031B,0.0666870266308331,0.0684644515025653,True,0.0012124358661128,True,True,coop,TP,False,transparent
051524_Cam3_TrNum8_Coop_EB015R-EB011Y,051524_EB015R-011Y_033Y_TimeOut_VEH,multi,test,True,EB015R-EB011Y,0.0580078125,0.060382080078125,True,0.0008148193359375,True,True,coop,TP,False,transparent
051524_Cam4_TrNum7_Coop_EB021R-EB023B,051524_EB021R-023B-009B_TimeOut_VEH,multi,test,True,EB021R-EB023B,0.0875304726770651,0.088358898021703,True,0.0018143377990637,True,True,coop,TP,False,transparent
052324_Cam3_TrNum10_Coop_EB007R-EB005Y,052324_EB007R-005Y-033Y_TimeOut_VEH,multi,test,True,EB007R-EB005Y,0.1897138324127394,0.2017452109531084,True,0.0021330356093548,True,True,coop,TP,False,transparent
052324_Cam2_TrNum12_Coop_EB015R-EB011Y,052324_EB015R-011Y_023B_TimeOut_VEH,multi,test,True,EB015R-EB011Y,0.1182011297252933,0.1194998310239946,True,0.0013252546709795,True,True,coop,TP,False,transparent
052324_Cam4_TrNum12_Coop_EB029R-EB027Y,052324_EB029R-027Y-003B_TimeOut_VEH,multi,test,True,EB029R-EB027Y,0.1523785097192224,0.1635448164146868,True,0.002877969762419,True,True,coop,TP,False,transparent
052824_Cam1_TrNum10_Coop_EB005Y-EB007R,052824_EB005Y-007R-017B_TimeOut_VEH,multi,test,True,EB005Y-EB007R,0.1557439318139707,0.1607837687604224,True,0.0024411710209375,True,True,coop,TP,False,transparent
052824_Cam4_TrNum12_Coop_EB011Y-EB015R,052824_EB011Y-015R-023B_TimeOut_VEH,multi,test,True,EB011Y-EB015R,0.1070706312259097,0.113320318366121,True,0.0008246984031636,True,True,coop,TP,False,transparent
052824_Cam2_TrNum11_Coop_EB027Y-EB029R,052824_EB027Y-029R-003B_TimeOut_VEH,multi,test,True,EB027Y-EB029R,0.1794093021912983,0.1896440222883044,True,0.0018203077633744,True,True,coop,TP,False,transparent
052824_Cam3_TrNum10_Coop_EB031B-EB001R,052824_EB031B-001R-019Y_TimeOut_VEH,multi,test,True,EB031B-EB001R,0.0388710163868503,0.040012063938876,True,0.0005755504172112,True,True,coop,TP,False,transparent
090324_Cam1_TrNum14_Coop_KL002B-KL002Y,090324_FiberPho_KL002B-KL003_TimeOut,multi,test,True,KL002B-KL002Y,0.0474993001772884,0.0491788746850797,True,0.0002985910236073,True,True,coop,TP,True,transparent
090924_Cam1_TrNum8_Coop_KL007G-KL007Y,090924_FiberPho_KL007G-KL002_TimeOut,multi,test,True,KL007G-KL007Y,0.128582427396754,0.1401589110283022,True,0.0012349481075421,True,True,coop,TP,True,transparent
091024_Cam1_TrNum8_Coop_KL007Y-KL007G,091024_FiberPho_KL007Y-KL002_TimeOut,multi,test,True,KL007Y-KL007G,0.1039813174424223,0.1104944435496859,True,0.0014189080367208,True,True,coop,TP,True,transparent
091124_Cam1_TrNum8_Coop_KL002Y-KL002B,091124_FiberPho_KL002Y-KL005_TimeOut,multi,test,True,KL002Y-KL002B,0.0934364593404232,0.0986625845955526,True,0.0010473735095069,True,True,coop,TP,True,transparent
091224_Cam1_TrNum14_Coop_KL002B-KL002Y,091224_FiberPho_KL002B-KL005_TimeOut_NoTTL,multi,test,True,KL002B-KL002Y,0.0412754786905497,0.0444796170475602,True,3.860407659048795e-06,True,True,coop,TP,True,transparent
091324_Cam2_TrNum10_Coop_KL005Y-KL005B,091324_FiberPho_KL005Y_KL007_TimeOut,multi,test,True,KL005Y-KL005B,0.0341160773849232,0.0368201022904158,True,4.89215032243718e-05,True,True,coop,TP,True,transparent
