TrialNum,LeverNum,AbsTime,TrialCond,DispTime,TrialTime,coopTS,coopSucc,Hit,TrialEnd,AnimalID,RatID,TrialStartTime,TrialEndTime,IPI_Rat0,IPI_Rat1,IPI_General,IPI_FirstToSuccess,IPI_LastToSuccess,CoopSuccessZone,Location_Rat0,Location_Rat1
34,1,418.92,3,420.56,0.980000000000018,418.94,1,1,1,,0,417.94,429.58,8.960000000000036,,0.28000000000002956,0.28000000000002956,0.28000000000002956,True,lev_bottom,lev_top
34,1,418.99,3,420.56,1.05000000000001,418.94,1,-2,0,,0,417.94,429.58,0.06999999999999318,,0.06999999999999318,,,True,lev_bottom,lev_top
35,2,430.23,3,431.74,0.650000000000034,430.37,1,1,0,,1,429.58,440.54,,11.590000000000032,11.240000000000009,,,True,lev_bottom,lev_top
35,1,430.35,3,431.74,0.770000000000039,430.37,1,1,1,,0,429.58,440.54,11.360000000000014,,0.12000000000000455,0.12000000000000455,0.12000000000000455,True,lev_bottom,lev_top
36,1,441.08,3,443.24,0.539999999999964,441.22,1,1,0,,0,440.54,453.28,10.729999999999961,,10.729999999999961,,,True,lev_bottom,lev_top
36,2,441.21,3,443.24,0.669999999999959,441.22,1,1,1,,1,440.54,453.28,,10.979999999999961,0.12999999999999545,0.12999999999999545,0.12999999999999545,True,lev_bottom,lev_top
36,1,441.68,3,443.24,1.13999999999999,441.22,1,-2,0,,0,440.54,453.28,0.6000000000000227,,0.4700000000000273,,,True,lev_bottom,lev_top
37,1,454.02,0,,0.740000000000009,,0,1,0,,1,453.28,463.57,,12.810000000000002,12.339999999999975,,,True,mag_top,lev_bottom
37,1,454.34,0,,1.06,,0,-1,0,,1,453.28,463.57,,0.3199999999999932,0.3199999999999932,,,True,mag_top,lev_bottom
37,1,455.09,0,,1.81,,0,-1,0,,1,453.28,463.57,,0.75,0.75,,,True,mid,lev_bottom
38,2,464.23,3,465.72,0.660000000000025,464.35,1,1,0,,1,463.57,475.86,,9.140000000000043,9.140000000000043,,,True,lev_bottom,lev_top
38,1,464.33,3,465.72,0.759999999999991,464.35,1,1,1,,0,463.57,475.86,22.649999999999977,,0.0999999999999659,0.0999999999999659,0.0999999999999659,True,lev_bottom,lev_top
38,2,464.48,3,465.72,0.910000000000025,464.35,1,-2,0,,1,463.57,475.86,,0.25,0.1500000000000341,,,True,lev_bottom,lev_top
39,1,476.45,3,477.83,0.589999999999975,476.51,1,1,0,,0,475.86,487.46,12.120000000000005,,11.96999999999997,,,True,lev_bottom,lev_top
39,2,476.49,3,477.83,0.629999999999995,476.51,1,1,1,,1,475.86,487.46,,12.009999999999991,0.040000000000020464,0.040000000000020464,0.040000000000020464,True,lev_bottom,lev_top
39,1,476.66,3,477.83,0.800000000000011,476.51,1,-2,0,,0,475.86,487.46,0.21000000000003638,,0.17000000000001592,,,True,lev_bottom,lev_top
40,1,488.08,3,489.94,0.620000000000005,488.12,1,1,0,,0,487.46,497.29,11.419999999999959,,11.419999999999959,,,True,lev_bottom,lev_top
40,2,488.09,3,489.94,0.629999999999995,488.12,1,1,1,,1,487.46,497.29,,11.599999999999966,0.009999999999990905,0.009999999999990905,0.009999999999990905,True,lev_bottom,lev_top
40,1,488.19,3,489.94,0.730000000000018,488.12,1,-2,0,,0,487.46,497.29,0.11000000000001364,,0.10000000000002274,,,True,lev_bottom,lev_top
41,2,497.96,3,499.9,0.669999999999959,498.18,1,1,0,,1,497.29,166.6,,9.870000000000005,9.769999999999982,,,True,lev_bottom,lev_top
41,1,498.16,3,499.9,0.870000000000005,498.18,1,1,1,,0,497.29,166.6,9.970000000000027,,0.20000000000004547,0.20000000000004547,0.20000000000004547,True,lev_bottom,lev_top
