rat0_x,rat0_y,rat1_x,rat1_y
1050.4881591796875,490.4588623046875,850.4473876953125,164.60276794433594
1080.6783447265625,474.5853576660156,850.4473876953125,164.60276794433594
1100.3017578125,464.57037353515625,850.4473876953125,164.60276794433594
1118.49853515625,456.4910583496094,850.4473876953125,164.60276794433594
1132.648193359375,452.493896484375,850.4473876953125,164.60276794433594
1146.635009765625,450.6407165527344,840.356201171875,170.57061767578125
1162.4322509765625,446.5304870605469,828.4212646484375,174.43655395507812
1176.362548828125,444.4139709472656,816.55419921875,174.69049072265625
1184.38720703125,438.5848388671875,804.4718627929688,174.5635223388672
1192.357177734375,436.68255615234375,790.4255981445312,174.40899658203125
1200.54248046875,436.544189453125,778.5261840820312,176.3724822998047
1214.502197265625,436.47943115234375,770.4332275390625,178.35690307617188
1216.700439453125,436.447509765625,764.6049194335938,180.50816345214844
1218.649658203125,438.38177490234375,762.4937133789062,180.62696838378906
1222.61083984375,440.35247802734375,762.4129638671875,180.32606506347656
1228.557861328125,438.65655517578125,762.47802734375,180.40383911132812
1232.481201171875,440.5800476074219,762.5348510742188,182.3997344970703
1234.66015625,438.54510498046875,762.4736328125,180.39154052734375
1238.414306640625,438.508056640625,764.4876708984375,180.37246704101562
1238.399169921875,440.481201171875,768.618896484375,180.3614959716797
1238.532470703125,440.48760986328125,772.4930419921875,182.4359130859375
1234.7005615234375,444.4735107421875,778.5692138671875,186.43556213378906
1238.4150390625,446.4344482421875,784.380126953125,194.65675354003906
1234.4949951171875,450.53271484375,790.5122680664062,204.31436157226562
1234.68212890625,452.56866455078125,796.5580444335938,214.4986114501953
1234.46142578125,454.60845947265625,802.564453125,218.74783325195312
1236.357421875,456.4201354980469,812.3433837890625,226.6126708984375
1236.584228515625,454.4444885253906,814.4546508789062,234.55796813964844
1236.606201171875,454.41937255859375,816.6256103515625,240.4011688232422
1236.50537109375,454.3794860839844,812.3273315429688,238.6598358154297
1234.611572265625,456.624267578125,802.431640625,236.46202087402344
1234.492431640625,454.6378173828125,775.420760566468,223.72410431961535
1234.67919921875,454.34393310546875,762.107005395658,218.0562653299039
1234.625732421875,454.39501953125,747.1087168434894,214.58201122158866
1226.5565185546875,460.465087890625,744.3785400390625,208.44223022460938
1228.4195556640625,462.4686279296875,720.2147216796875,206.59927368164062
1228.6568603515625,458.4789123535156,696.5927734375,204.654296875
1234.4637451171875,450.4441833496094,672.517578125,202.34156799316406
1238.4569091796875,444.43914794921875,652.5001831054688,198.6738739013672
1238.602294921875,446.53106689453125,636.42333984375,198.46421813964844
1234.40380859375,452.60003662109375,608.3978881835938,194.62222290039062
1230.4678955078125,456.48529052734375,582.3649291992188,194.3880615234375
1232.3656005859375,450.48193359375,558.4078369140625,192.59078979492188
1230.49560546875,444.50018310546875,532.4148559570312,192.58078002929688
1230.41552734375,442.51611328125,508.4775390625,194.50892639160156
1228.62060546875,442.4334716796875,486.6026611328125,194.32203674316406
1226.5313720703125,442.4495544433594,466.398681640625,192.57852172851562
1228.615966796875,440.5780029296875,444.4270324707031,194.55035400390625
1230.5029296875,438.6170654296875,420.64447021484375,194.5305938720703
1228.572265625,438.6346740722656,398.6067199707031,194.33248901367188
1230.568359375,436.57965087890625,374.65179443359375,196.3885955810547
1230.4427490234375,434.4356689453125,352.60516357421875,204.62120056152344
1234.5399169921875,434.54791259765625,330.48309326171875,210.6483154296875
1236.61767578125,436.64080810546875,306.65212174961795,209.48079171271064
