vid,session,single/multi,test/train,pred,color pair,initial nan,vel nan,correct,final nan,levers,mags,trial type,familiarity,fiber pho,dividers
040824_COOPTRAIN_LARGEARENA_KL006R-KL006G_Camera2,040824,multi,train,True,L006G_Camera2,0.1859945676204914,0.1938614111553281,True,0.0035032531109847,True,True,coop,TP,False,transparent
040824_COOPTRAIN_LARGEARENA_KL008G-KL008B_Camera4,040824,multi,train,False,L008B_Camera4,-1.0,-1.0,False,-1.0,True,True,coop,TP,False,transparent
040824_COOPTRAIN_LARGEARENA_KL002B-KL002Y_Camera2,040824,multi,train,True,L002Y_Camera2,0.0636332294636345,0.0665994828614997,True,0.0005821123118742,True,True,coop,TP,False,transparent
040824_COOPTRAIN_LARGEARENA_KL003G-KL003B_Camera3,040824,multi,train,False,L003B_Camera3,-1.0,-1.0,False,-1.0,True,True,coop,TP,False,transparent
040924_COOPTRAIN_LARGEARENA_EB021R-EB023B_Camera3,040924,multi,train,True,B023B_Camera3,0.1030071995569503,0.10434742477386,True,0.0014623715463663,True,True,coop,TP,False,transparent
040924_COOPTRAIN_LARGEARENA_EB027Y-EB029R_Camera4,040924,multi,train,True,B029R_Camera4,0.1721641106466289,0.185982626041237,True,0.0041313944110277,True,True,coop,TP,False,transparent
040924_COOPTRAIN_LARGEARENA_EB011Y-EB015R_Camera2,040924,multi,train,True,B015R_Camera2,0.1376615392182178,0.1460695709911837,True,0.0016633467360163,True,True,coop,TP,False,transparent
041024_COOPTRAIN_LARGEARENA_EB009B-EB019Y_Camera2,041024,multi,train,True,B019Y_Camera2,0.1223668655448214,0.1299111513382714,True,0.0023394351367826,True,True,coop,TP,False,transparent
041024_COOPTRAIN_LARGEARENA_EB011Y-EB015R_Camera2,041024,multi,train,True,B015R_Camera2,0.1468113238422516,0.1555005727376861,True,0.0021407298314514,True,True,coop,TP,False,transparent
041024_COOPTRAIN_LARGEARENA_EB001R-EB003B_Camera1,041024,multi,train,True,B003B_Camera1,0.1131587579522196,0.1154188746540755,True,0.0020434374841186,True,True,coop,TP,False,transparent
041024_COOPTRAIN_LARGEARENA_EB021R-EB023B_Camera3,041024,multi,train,True,B023B_Camera3,0.0916205822631087,0.0925973322190374,True,0.0019348920417077,True,True,coop,TP,False,transparent
041124_COOPTRAIN_LARGEARENA_EB005Y-EB007R_Camera2,041124,multi,train,True,B007R_Camera2,0.1726707699126633,0.1883369765591159,True,0.0029890401023461,True,True,coop,TP,False,transparent
041124_COOPTRAIN_LARGEARENA_EB031B-EB033Y_Camera3,041124,multi,train,True,B033Y_Camera3,0.182979959999772,0.1961367301238183,True,0.0061333682813007,True,True,coop,TP,False,transparent
041124_COOPTRAIN_LARGEARENA_EB011Y-EB015R_Camera3,041124,multi,train,True,B015R_Camera3,0.1124603885194611,0.1184275122481212,True,0.0017823908735148,True,True,coop,TP,False,transparent
041124_COOPTRAIN_LARGEARENA_EB027Y-EB029R_Camera2,041124,multi,train,True,B029R_Camera2,0.1655454944854304,0.1799780900703514,True,0.0034445376377215,True,True,coop,TP,False,transparent
041124_COOPTRAIN_LARGEARENA_EB021R-EB023B_Camera1,041124,multi,train,True,B023B_Camera1,0.0912170060385578,0.0921470237721884,True,0.0011295923545813,True,True,coop,TP,False,transparent
041124_COOPTRAIN_LARGEARENA_EB001R-EB003B_Camera1,041124,multi,train,True,B003B_Camera1,0.0889782832254552,0.0908192688484261,True,0.0014482890730546,True,True,coop,TP,False,transparent
041124_COOPTRAIN_LARGEARENA_EB009B-EB019Y_Camera4,041124,multi,train,True,B019Y_Camera4,0.1785044188996034,0.1958231836208805,True,0.0040192861312986,True,True,coop,TP,False,transparent
041224_COOPTRAIN_LARGEARENA_EB011Y-EB015R_Camera3,041224,multi,train,True,B015R_Camera3,0.1276085780310576,0.1337159500609321,True,0.0025664817633405,True,True,coop,TP,False,transparent
041224_COOPTRAIN_LARGEARENA_EB001R-EB003B_Camera1,041224,multi,train,True,B003B_Camera1,0.1128766416415403,0.113834308031649,True,0.002757401299148,True,True,coop,TP,False,transparent
041324_COOPTRAIN_LARGEARENA_EB001R-EB003B_Camera1,041324,multi,train,True,B003B_Camera1,0.151886339504178,0.1534056599418309,True,0.0029393841466229,True,True,coop,TP,False,transparent
041424_COOPTRAIN_LARGEARENA_EB031B-EB033Y_Camera3,041424,multi,train,True,B033Y_Camera3,0.1465775954466496,0.1509096536940533,True,0.0035057933252023,True,True,coop,TP,False,transparent
041424_COOPTRAIN_LARGEARENA_EB001R-EB003B_Camera1,041424,multi,train,True,B003B_Camera1,0.1527552794112208,0.1538846665926994,True,0.0026651318465919,True,True,coop,TP,False,transparent
041524_COOPTRAIN_LARGEARENA_EB001R-EB003B_Camera1,041524,multi,train,True,B003B_Camera1,0.1765973215751577,0.1783136712245233,True,0.003386964373666,True,True,coop,TP,False,transparent
041524_COOPTRAIN_LARGEARENA_EB031B-EB033Y_Camera3,041524,multi,train,True,B033Y_Camera3,0.1830527607591853,0.1902127480186611,True,0.0049165776703576,True,True,coop,TP,False,transparent
041524_COOPTRAIN_LARGEARENA_EB011Y-EB015R_Camera2,041524,multi,train,True,B015R_Camera2,0.1585034767432196,0.1620693317080828,True,0.003853274972066,True,True,coop,TP,False,transparent
041524_COOPTRAIN_LARGEARENA_EB021R-EB023B_Camera3,041524,multi,train,True,B023B_Camera3,0.0948288033072036,0.0960948421834556,True,0.0024238831036407,True,True,coop,TP,False,transparent
041624_COOPTRAIN_LARGEARENA_EB011Y-EB015R_Camera2,041624,multi,train,True,B015R_Camera2,0.1449529001354854,0.1482552247244951,True,0.0032329816401207,True,True,coop,TP,False,transparent
041624_COOPTRAIN_LARGEARENA_EB021R-EB023B_Camera3,041624,multi,train,True,B023B_Camera3,0.0701331957043889,0.0709430891081247,True,0.0011331229198509,True,True,coop,TP,False,transparent
041624_COOPTRAIN_LARGEARENA_EB031B-EB033Y_Camera3,041624,multi,train,True,B033Y_Camera3,0.111782112589366,0.1140381610719189,True,0.0027101778640531,True,True,coop,TP,False,transparent
041624_COOPTRAIN_LARGEARENA_EB001R-EB003B_Camera1,041624,multi,train,True,B003B_Camera1,0.1049346867596736,0.1056799486707028,True,0.0014637898131087,True,True,coop,TP,False,transparent
041624_COOPTRAIN_LARGEARENA_EB027Y-EB029R_Camera4,041624,multi,train,True,B029R_Camera4,0.1795146480104941,0.192142014813637,True,0.0044119595606259,True,True,coop,TP,False,transparent
041724_COOPTRAIN_LARGEARENA_EB011Y-EB015R_Camera2,041724,multi,train,True,B015R_Camera2,0.1308898697411311,0.135043694430704,True,0.0017953401062871,True,True,coop,TP,False,transparent
041724_COOPTRAIN_LARGEARENA_EB021R-EB023B_Camera3,041724,multi,train,True,B023B_Camera3,0.0690630323679727,0.0721209540034071,True,0.0011069977722447,True,True,coop,TP,False,transparent
