left_x,left_y,right_x,right_y
1212.558349609375,448.60479736328125,260.3650207519531,502.582763671875
1212.436279296875,450.5426330566406,260.41717529296875,504.5419006347656
1208.5599365234375,450.4986877441406,262.56951904296875,508.5799255371094
1208.52978515625,450.4880065917969,264.3385009765625,514.419189453125
1208.5030517578125,450.48834228515625,264.3654479980469,514.6153564453125
1208.41796875,450.41436767578125,260.4125671386719,516.5527954101562
1204.5113525390625,452.3580017089844,260.35809326171875,522.3262939453125
1200.6328125,452.31219482421875,256.4197082519531,524.651611328125
1200.5260009765625,452.4165954589844,248.66554260253906,532.5092163085938
1200.5045166015625,452.4230041503906,242.65481567382812,534.4026489257812
1200.4617919921875,452.4202880859375,238.4610595703125,534.389892578125
1198.5303955078125,450.4341125488281,230.9784742094019,537.114056973466
1198.511474609375,450.48358154296875,224.06856066648066,538.0624295075961
1198.497802734375,450.53564453125,217.54217221378593,539.5326776684469
1200.5035400390625,454.4202880859375,210.98293749779288,540.930278634884
1200.4915771484375,454.531982421875,204.4633047593679,542.3011680927423
1200.403564453125,458.52532958984375,196.57176208496094,544.3417358398438
1200.3609619140625,462.4862976074219,192.62876892089844,544.4713745117188
1198.498291015625,470.3960876464844,185.13955024004497,546.283331400729
1198.540771484375,474.4446105957031,179.04928149837843,547.4526908638569
1196.5238037109375,478.5567626953125,172.85943315335425,548.6543007675655
1198.3868408203125,482.4935302734375,166.59684671863036,549.8955585437715
1194.54052734375,486.575439453125,594.8751526227492,548.180332834072
1194.5839680395677,490.8221890675211,682.3460247818347,546.0325752175153
1193.4713594105042,494.8317613789558,1150.5648193359375,510.53326416015625
1192.408669862809,498.94676454283064,1124.6239013671875,512.360107421875
1191.5055287734679,503.0573918230984,1100.6070556640625,518.3768920898438
836.144064031704,505.40858822649164,1076.4844970703125,536.2772216796875
188.67929077148438,532.36328125,1048.4591064453125,538.2494506835938
192.4566650390625,528.4935302734375,1020.484130859375,541.8946533203125
192.3580780029297,524.5653076171875,998.5447998046875,526.4959106445312
192.39476013183594,522.3306884765625,984.2947998046875,522.4423828125
190.3674774169922,514.4810791015625,962.4969482421875,512.5182495117188
190.34307861328125,510.62353515625,941.4522498645597,511.662874313803
190.32591247558594,510.4482116699219,916.271844316973,500.5720657771531
191.89902440099422,504.4328088413522,893.1201670206306,498.1975058337638
192.54776407920454,500.5106990791014,188.51475524902344,498.4705810546875
193.30269699985894,496.43966202776136,192.40631103515625,490.66802978515625
193.41740015985505,492.47569271891115,721.6444550108783,452.30068076215997
193.77961252169266,488.4737831026233,738.5526623519413,439.0396004281007
196.3087615966797,484.4753112792969,728.4008178710938,430.41815185546875
