vid,session,single/multi,test/train,pred,color pair,initial nan,vel nan,correct,final nan,levers,mags,trial type,familiarity,fiber pho,dividers
052324_Cam4_TrNum10_Coop_EB029R-EB003B,052324_EB029R-027Y-003B_TimeOut_VEH,multi,test,True,EB029R-EB003B,0.1578343313373253,0.1635728542914171,True,0.00396373918829,True,True,coop,UF,False,transparent
052424_Cam1_TrNum9_Coop_EB005Y-EB023B,052424_EB005Y-007R-023B_TimeOut_CNO,multi,test,True,EB005Y-EB023B,0.0716939328156122,0.0755052257010496,True,0.0010619251169348,True,True,coop,UF,False,transparent
052424_Cam2_TrNum7_Coop_EB011Y-EB003B,052424_EB011Y-015R-003B_TimeOut_CNO,multi,test,True,EB011Y-EB003B,0.0916343836472373,0.0965134339016334,True,0.0004757654199767,True,True,coop,UF,False,transparent
052424_Cam3_TrNum10_Coop_EB027Y-EB017B,052424_EB027Y-029R-017B_TimeOut_CNO,multi,test,True,EB027Y-EB017B,0.0897159504734158,0.0924661325564457,True,0.0012294246176256,True,True,coop,UF,False,transparent
052424_Cam4_TrNum7_Coop_EB031B-EB033Y,052424_EB031B-001R-033Y_TimeOut_CNO,multi,test,True,EB031B-EB033Y,0.0926670718494833,0.0986893216711148,True,0.0010252886927569,True,True,coop,UF,False,transparent
052824_Cam1_TrNum12_Coop_EB005Y-EB017B,052824_EB005Y-007R-017B_TimeOut_VEH,multi,test,True,EB005Y-EB017B,0.0675907883082373,0.0704627989371124,True,0.0015755093002657,True,True,coop,UF,False,transparent
052824_Cam4_TrNum9_Coop_EB011Y-EB023B,052824_EB011Y-015R-023B_TimeOut_VEH,multi,test,True,EB011Y-EB023B,0.1710021044006182,0.1993295714844404,True,0.0024349591224835,True,True,coop,UF,False,transparent
052824_Cam2_TrNum9_Coop_EB027Y-EB003B,052824_EB027Y-029R-003B_TimeOut_VEH,multi,test,True,EB027Y-EB003B,0.0855012274581464,0.0873119589493696,True,0.0008047695516547,True,True,coop,UF,False,transparent
052824_Cam3_TrNum12_Coop_EB031B-EB019Y,052824_EB031B-001R-019Y_TimeOut_VEH,multi,test,True,EB031B-EB019Y,0.1527316651521532,0.1612114630200137,True,0.0046676566413262,True,True,coop,UF,False,transparent
052924_Cam2_TrNum10_Coop_EB001R-EB033Y,052924_EB001R-031B-033Y_TimeOut_CNO,multi,test,True,EB001R-EB033Y,0.2217094849628637,0.2341131655389539,True,0.0050938407750778,True,True,coop,UF,False,transparent
052924_Cam4_TrNum10_Coop_EB007R-EB019Y,052924_EB007R-005Y-019Y_TimeOut_CNO,multi,test,True,EB007R-EB019Y,0.1466419856085097,0.1556870719922133,True,0.0031920255848715,True,True,coop,UF,False,transparent
052924_Cam3_TrNum10_Coop_EB015R-EB017B,052924_EB015R-011Y_017B_TimeOut_CNO,multi,test,True,EB015R-EB017B,0.0568214564707924,0.0609478343893759,True,0.0007238954951827,True,True,coop,UF,False,transparent
052924_Cam1_TrNum10_Coop_EB029R-EB023B,052924_EB029R-027Y-023B_TimeOut_CNO,multi,test,True,EB029R-EB023B,0.0755351917449561,0.0772216232866163,True,0.0018115663021715,True,True,coop,UF,False,transparent
053124_Cam2_TrNum12_Coop_EB005Y-EB003B,053124_EB005Y-007R-003B_TimeOut_CNO,multi,test,True,EB005Y-EB003B,0.0488104845217728,0.0495852028793699,True,0.0003704122147261,True,True,coop,UF,False,transparent
053124_Cam4_TrNum10_Coop_EB011Y-EB017B,053124_EB011Y-015R-017B_TimeOut_CNO,multi,test,True,EB011Y-EB017B,0.1199582434726747,0.1423507548295324,True,0.0012630202358555,True,True,coop,UF,False,transparent
053124_Cam3_TrNum12_Coop_EB031B-EB033Y,053124_EB031B-001R-033Y_TimeOut_CNO,multi,test,True,EB031B-EB033Y,0.032983468905799,0.0331596506353787,True,0.0005754020317127,True,True,coop,UF,False,transparent
