SessionID,Date,RatPair,Familiarity,BarrierTransparency,FPS,EventType,AbsTime,TrialTime,Length_frames,RatID,Location_Rat0,Location_Rat1,X_Coord_Rat0,Y_Coord_Rat0,X_Coord_Rat1,Y_Coord_Rat1,Avg_InterRat_Distance,Avg_Gazing_±5s,Avg_Interactions_±5s,coopSucc,Hit
043024_KL004_TimeOut_Opaque_TrNum7,2024-04-30,KL004G-KL004R,Training Partner,opaque,30.004011785838085,gaze,1.3664839319704583,,10,0.0,mid,mid,808.4768676757812,384.713623046875,701.2270202637858,206.77789636122617,207.75864025605827,,,,
043024_KL004_TimeOut_Opaque_TrNum7,2024-04-30,KL004G-KL004R,Training Partner,opaque,30.004011785838085,gaze,2.0663903361504494,,4,0.0,mid,mid,812.4481201171875,384.2979736328125,701.2270202637858,206.77789636122617,209.4839155809112,,,,
043024_KL004_TimeOut_Opaque_TrNum7,2024-04-30,KL004G-KL004R,Training Partner,opaque,30.004011785838085,interaction,4.066122919521852,,3,,mid,mid,660.4616088867188,330.5776062011719,701.2270202637858,206.77789636122617,130.33873914226828,,,,
043024_KL004_TimeOut_Opaque_TrNum7,2024-04-30,KL004G-KL004R,Training Partner,opaque,30.004011785838085,interaction,6.2324998848408715,,14,,mid,mid,612.5576782226562,280.64288330078125,701.2270202637858,206.77789636122617,115.40488947001971,,,,
043024_KL004_TimeOut_Opaque_TrNum7,2024-04-30,KL004G-KL004R,Training Partner,opaque,30.004011785838085,interaction,8.19890359182275,,4,,mid,mid,704.5990600585938,214.37701416015625,698.2993869086898,203.27014921020495,12.769037975199117,,,,
043024_KL004_TimeOut_Opaque_TrNum7,2024-04-30,KL004G-KL004R,Training Partner,opaque,30.004011785838085,interaction,10.56525381547891,,2,,lev_top,lev_top,346.71049828024707,106.0181427355405,332.5030822753906,116.57465362548828,17.700016714812367,,,,
043024_KL004_TimeOut_Opaque_TrNum7,2024-04-30,KL004G-KL004R,Training Partner,opaque,30.004011785838085,levPress,10.67,0.66,1,1.0,lev_top,lev_top,293.0790868976459,71.32072306659103,208.3137664794922,236.4037628173828,185.57362301510892,0.0,0.08,0.0,1.0
043024_KL004_TimeOut_Opaque_TrNum7,2024-04-30,KL004G-KL004R,Training Partner,opaque,30.004011785838085,levPress,11.15,1.14,1,0.0,lev_top,mid,184.2518768310547,186.57652282714844,496.314208984375,258.4600830078125,320.2345162115045,0.0,0.08,0.0,-1.0
043024_KL004_TimeOut_Opaque_TrNum7,2024-04-30,KL004G-KL004R,Training Partner,opaque,30.004011785838085,interaction,13.064919544693163,,4,,mid,mid,548.3939893094268,201.62664765350902,684.5025634765625,170.63998413085938,139.59125072180052,,,,
043024_KL004_TimeOut_Opaque_TrNum7,2024-04-30,KL004G-KL004R,Training Partner,opaque,30.004011785838085,magEntry,13.89,,0,1.0,mag_top,mag_top,1273.0364194495244,245.25168260426042,1236.3912353515625,222.4981231689453,43.13460309948308,0.0,0.02,,0.0
043024_KL004_TimeOut_Opaque_TrNum7,2024-04-30,KL004G-KL004R,Training Partner,opaque,30.004011785838085,magEntry,19.72,,0,1.0,lev_top,mag_top,172.08886559837083,203.79407052497487,1234.511962890625,218.55633544921875,1062.5256524553938,0.0,0.0,,0.0
043024_KL004_TimeOut_Opaque_TrNum7,2024-04-30,KL004G-KL004R,Training Partner,opaque,30.004011785838085,levPress,19.76,0.640000000000001,1,0.0,lev_top,mag_top,171.43015265658704,205.272047130807,1234.4515380859375,218.55760192871094,1063.1044030792195,0.0,0.0,0.0,1.0
043024_KL004_TimeOut_Opaque_TrNum7,2024-04-30,KL004G-KL004R,Training Partner,opaque,30.004011785838085,levPress,27.54,0.629999999999999,1,0.0,lev_top,lev_bottom,190.4545135498047,196.3142547607422,260.327880859375,484.5619812011719,296.5957505718093,0.0,0.0,1.0,1.0
043024_KL004_TimeOut_Opaque_TrNum7,2024-04-30,KL004G-KL004R,Training Partner,opaque,30.004011785838085,levPress,28.13,1.22,1,0.0,lev_top,lev_bottom,188.4092254638672,198.57672119140625,168.53219604492188,498.428955078125,300.5103300476992,0.0,0.0,1.0,-1.0
043024_KL004_TimeOut_Opaque_TrNum7,2024-04-30,KL004G-KL004R,Training Partner,opaque,30.004011785838085,levPress,28.15,1.24,1,1.0,lev_top,lev_bottom,188.4092254638672,198.57672119140625,168.53219604492188,498.428955078125,300.5103300476992,0.0,0.0,1.0,1.0
043024_KL004_TimeOut_Opaque_TrNum7,2024-04-30,KL004G-KL004R,Training Partner,opaque,30.004011785838085,magEntry,30.32,0.990000000000002,0,1.0,mid,mag_top,904.3549194335938,400.3750305175781,1232.5650634765625,220.6319580078125,374.2051185753038,0.0,0.0,,1.0
043024_KL004_TimeOut_Opaque_TrNum7,2024-04-30,KL004G-KL004R,Training Partner,opaque,30.004011785838085,magEntry,30.98,1.65,0,0.0,mag_bottom,mag_top,1220.4453125,436.59014892578125,1234.6888427734375,224.65032958984375,212.4179021994148,0.0,0.0,,1.0
043024_KL004_TimeOut_Opaque_TrNum7,2024-04-30,KL004G-KL004R,Training Partner,opaque,30.004011785838085,levPress,38.84,0.650000000000006,1,,other,lev_top,184.9560735914894,325.7678411303733,190.23029775846754,266.3341305735425,59.66727236196304,0.018333333333333333,0.0,1.0,1.0
043024_KL004_TimeOut_Opaque_TrNum7,2024-04-30,KL004G-KL004R,Training Partner,opaque,30.004011785838085,levPress,39.04,0.850000000000001,1,1.0,lev_top,lev_bottom,192.4479522705078,208.5640869140625,173.90650168858758,525.951329052773,317.9283675013889,0.018333333333333333,0.0,1.0,1.0
043024_KL004_TimeOut_Opaque_TrNum7,2024-04-30,KL004G-KL004R,Training Partner,opaque,30.004011785838085,levPress,39.86,1.67,1,,lev_top,other,184.35842895507812,216.3993377685547,109.77980027330636,1488.5685200749235,1274.353326305585,0.018333333333333333,0.0,1.0,-2.0
043024_KL004_TimeOut_Opaque_TrNum7,2024-04-30,KL004G-KL004R,Training Partner,opaque,30.004011785838085,magEntry,41.72,0.839999999999996,0,0.0,mag_top,mag_bottom,1232.365234375,220.38665771484375,1216.630126953125,436.52825927734375,216.71360255318643,0.018333333333333333,0.0,,1.0
043024_KL004_TimeOut_Opaque_TrNum7,2024-04-30,KL004G-KL004R,Training Partner,opaque,30.004011785838085,magEntry,41.79,0.909999999999997,0,1.0,mag_top,mag_bottom,1232.394287109375,218.62509155273438,1220.5531005859375,436.588623046875,218.28493937896877,0.018333333333333333,0.0,,1.0
043024_KL004_TimeOut_Opaque_TrNum7,2024-04-30,KL004G-KL004R,Training Partner,opaque,30.004011785838085,gaze,42.794277284148016,,11,1.0,mag_top,mag_bottom,1228.6282958984375,220.55262756347656,1224.6634521484375,434.5938415527344,214.07793270665982,,,,
043024_KL004_TimeOut_Opaque_TrNum7,2024-04-30,KL004G-KL004R,Training Partner,opaque,30.004011785838085,levPress,48.17,0.670000000000002,1,1.0,mag_top,lev_top,1234.4156494140625,212.50196838378906,187.0566938688735,254.5405166285696,1048.2022807164835,0.0,0.0,0.0,1.0
043024_KL004_TimeOut_Opaque_TrNum7,2024-04-30,KL004G-KL004R,Training Partner,opaque,30.004011785838085,magEntry,49.76,8.88,0,0.0,mag_top,lev_top,1224.3837890625,220.6126251220703,184.52102661132812,236.38320922851562,1039.9823441076492,0.0,0.0,,-1.0
043024_KL004_TimeOut_Opaque_TrNum7,2024-04-30,KL004G-KL004R,Training Partner,opaque,30.004011785838085,magEntry,54.56,13.68,0,0.0,mag_top,lev_bottom,1228.5714111328125,220.50216674804688,174.57676696777344,468.47674560546875,1082.7724145396867,0.0,0.0,,-1.0
043024_KL004_TimeOut_Opaque_TrNum7,2024-04-30,KL004G-KL004R,Training Partner,opaque,30.004011785838085,levPress,58.7,0.68,1,0.0,lev_top,lev_bottom,192.48240661621094,216.4248504638672,188.82443424291714,468.9956632624074,252.59730053901808,0.0,0.0,1.0,1.0
043024_KL004_TimeOut_Opaque_TrNum7,2024-04-30,KL004G-KL004R,Training Partner,opaque,30.004011785838085,levPress,58.72,0.699999999999996,1,1.0,lev_top,lev_bottom,192.48240661621094,216.4248504638672,188.82443424291714,468.9956632624074,252.59730053901808,0.0,0.0,1.0,1.0
043024_KL004_TimeOut_Opaque_TrNum7,2024-04-30,KL004G-KL004R,Training Partner,opaque,30.004011785838085,levPress,58.94,0.919999999999995,1,1.0,lev_top,lev_bottom,188.58316040039062,210.52706909179688,185.12534761211057,472.9484354038416,262.44414637472704,0.0,0.0,1.0,-2.0
