session_id,trial_number,date,rat_pair,familiarity,barrier_transparency,time_begin,time_first_press,time_coop_or_last_press,time_first_mag_entry,time_trial_end,all_time_sections_valid,successes_in_row,success,trial_frames,lever_press_exists,percent_gazing_original,percent_gazing,percent_interacting,percent_gazing_lev,percent_gazing_mag,percent_interacting_lev,percent_interacting_mag,time_wait_before_cue_both,time_wait_before_cue_rat0,time_wait_before_cue_rat1,distance_vs_wait_valid,time_wait_to_press_one,dist_furthest_from_lever,avg_horizontal_distance,avg_distance
041624_KL001_TimeOut_TrNum10,16,2024-04-16,KL001B-KL001Y,Training Partner,transparent,184.78,185.47,185.47,188.13,,True,13.0,1,306,True,0.0,0.0,0.0,0.0016339869281045752,0.0,0.34967320261437906,0.058823529411764705,3.732837376933896,112.0,169.0,True,0.6899999999999977,144.9017868782572,56.83303761269145,264.6046500460254
041624_KL001_TimeOut_TrNum10,17,2024-04-16,KL001B-KL001Y,Training Partner,transparent,194.99,195.37,195.6,,,False,14.0,1,363,True,0.0,0.0,0.0,0.0,0.0,0.4283746556473829,0.048209366391184574,3.9994686181434598,120.0,132.0,True,0.37999999999999545,139.2846555968742,111.77839258876446,303.4290662802894
041624_KL001_TimeOut_TrNum10,18,2024-04-16,KL001B-KL001Y,Training Partner,transparent,207.09,207.72,207.79,210.66,,True,15.0,1,325,True,0.0,0.0,0.0,0.0,0.0,0.39076923076923076,0.06923076923076923,5.9658740220639945,188.0,179.0,True,0.6299999999999955,134.76604637465908,76.80975368808669,265.42077439719765
041624_KL001_TimeOut_TrNum10,19,2024-04-16,KL001B-KL001Y,Training Partner,transparent,217.92,218.55,218.59,,,False,16.0,1,447,True,0.0,0.0,0.0,0.0022371364653243847,0.0,0.3434004474272931,0.029082774049217,3.6328506614803096,109.0,136.0,True,0.6300000000000239,150.84509888300263,244.05332965331257,386.97042773720744
041624_KL001_TimeOut_TrNum10,20,2024-04-16,KL001B-KL001Y,Training Partner,transparent,232.81,233.49,233.62,236.57,,True,17.0,1,482,True,0.0,0.0,0.0,0.0,0.0,0.2676348547717842,0.12655601659751037,5.132651393284107,154.0,174.0,True,0.6800000000000068,146.50692999352378,500.08191014517416,612.9391318956351
041624_KL001_TimeOut_TrNum10,21,2024-04-16,KL001B-KL001Y,Training Partner,transparent,248.87,249.52,249.55,251.98,,True,18.0,1,387,True,0.516795865633075,0.516795865633075,2.842377260981912,0.0012919896640826874,0.0,0.20284237726098192,0.10981912144702842,4.632717816016174,139.0,656.0,True,0.6500000000000057,142.79584373016223,292.78333230935704,386.169035176269
041624_KL001_TimeOut_TrNum10,22,2024-04-16,KL001B-KL001Y,Training Partner,transparent,261.77,262.42,263.64,,,False,0.0,0,243,True,0.0,0.0,3.7037037037037033,0.0,0.0,0.29835390946502055,0.03292181069958848,0.0,108.0,0.0,True,0.6500000000000341,1122.4477872957953,508.22890573834525,558.8535699440915
041624_KL001_TimeOut_TrNum10,23,2024-04-16,KL001B-KL001Y,Training Partner,transparent,269.87,270.25,270.53,,,False,1.0,1,342,True,4.093567251461988,1.7543859649122806,0.0,0.0,0.0,0.35233918128654973,0.05847953216374269,1.1665116802918425,35.0,197.0,True,0.37999999999999545,147.4192292666592,84.52158887264893,248.2905182991996
041624_KL001_TimeOut_TrNum10,24,2024-04-16,KL001B-KL001Y,Training Partner,transparent,281.28,281.9,281.96,284.67,,True,2.0,1,379,True,0.0,0.0,0.0,0.0,0.0,0.32717678100263853,0.25725593667546176,3.9994686181434598,120.0,148.0,True,0.6200000000000045,149.16023173963814,585.2546930758552,683.2537870359666
041624_KL001_TimeOut_TrNum10,25,2024-04-16,KL001B-KL001Y,Training Partner,transparent,293.92,294.56,295.84,,,False,0.0,0,201,True,0.0,0.0,0.0,0.0,0.0,0.4527363184079602,0.03233830845771144,0.0,0.0,212.0,True,0.6399999999999864,1130.5545376451676,400.82707907775836,541.6937938309518
